"Freq [GHz]","dB(S(Port6,Port5)) []"
0.000183431135244384,-6.47381205636453e-06
0.000184276121029334,-6.53359213397978e-06
0.000185124999288568,-6.59392422239718e-06
0.000185977787952986,-6.65481341038818e-06
0.000186834505036089,-6.71626484458416e-06
0.000187695168634356,-6.77828371790451e-06
0.000188559796927631,-6.84087526859232e-06
0.000189428408179503,-6.90404478600032e-06
0.000190301020737693,-6.96779760480495e-06
0.000191177653034444,-7.03213911464962e-06
0.000192058323586905,-7.09707474567982e-06
0.000192943050997527,-7.16260998686534e-06
0.000193831853954455,-7.22875037539267e-06
0.00019472475123192,-7.29550149762935e-06
0.000195621761690639,-7.36286899201692e-06
0.000196522904278212,-7.43085855099964e-06
0.00019742819802952,-7.49947591813147e-06
0.000198337662067133,-7.56872689000473e-06
0.000199251315601707,-7.63861731914312e-06
