"Freq [GHz]","B1 []","K []"
0.664666666666667,1.16900919127923,1.63510748494805
0.669333333333333,1.17623675931461,1.63372261390489
0.674,1.18305046838261,1.63258354517292
0.678666666666667,1.18943170776623,1.63168918112118
0.683333333333333,1.19536074243444,1.63103854613888
0.688,1.20081324914571,1.63068851626705
0.692666666666667,1.20571792652978,1.63099059630188
0.697333333333333,1.21010369045025,1.63151931870232
0.702,1.2137896004582,1.63116133345782
0.706666666666667,1.21671820231079,1.62951779056378
0.711333333333333,1.21908667612367,1.62805393807669
0.716,1.22086317782201,1.62680321230007
0.720666666666667,1.22201328756202,1.62580956773876
0.725333333333333,1.22253934158466,1.62498819798208
0.73,1.22241966216473,1.62433788138681
0.734666666666667,1.22161182357437,1.62411989677668
0.739333333333333,1.22011661455494,1.62406526254644
0.744,1.21789791935465,1.62423343817017
