"Freq [GHz]","dB(MSG) []","dB(NF) []","dB(GMAX) []"
0.52,19.920366689633,8.84827088411565,15.7747602661518
0.524666666666667,19.8835726129727,8.7028823366218,15.7802783548481
0.529333333333333,19.8465125102,8.55968707619895,15.7839758160717
0.534,19.809182121593,8.41868956074187,15.7848078266615
0.538666666666667,19.7715770851205,8.27981911287588,15.7837446657988
0.543333333333333,19.7336929331376,8.14304137630475,15.7808307329274
0.548,19.6955250889458,8.00832518733644,15.7760476752707
0.552666666666667,19.6570688632126,7.87564017155925,15.7693773833309
0.557333333333333,19.6183194502426,7.74496660792879,15.7605214883763
0.562,19.579271924093,7.61656335188287,15.7468452780537
0.566666666666667,19.5399212345262,7.4902042122099,15.7305645145953
0.571333333333333,19.5002622027897,7.36576361535695,15.7124664464217
0.576,19.4602895172161,7.24321469608118,15.6925342247002
